variant,winner_model,feature,importance_mean_raw,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean_raw,ablation_delta_auc_oof_raw,ablation_delta_auc_mean,ablation_delta_auc_oof,importance_score,rank_score,ablation_score,joint_topk_score,cross_variant_consistency,stability_score,functional_consistency_score,winner_diag_signal_score,winner_diag_effect_score,winner_model_reliability_score,FRS_raw,FRS,FRS_rank,interpretability_gap,feature_class
BIOMARKERS,RF_SHALLOW,72_kda_pro_mmp_2,0.2856825396825396,0.2856825396825396,1.0,0.13761904761904753,0.14875000000000005,0.13761904761904753,0.14875000000000005,1.0,1.0,0.0,0.0,0.6077299799601319,0.803864989980066,0.0,1.0,0.5495574579680641,0.774778728984032,0.6012883299933552,1.0,1.0,1.0,SPURIOUS_IMPORTANCE
BIOMARKERS,RF_SHALLOW,hdl,0.021031746031746,0.021031746031746,5.0,0.4747619047619047,0.37812500000000004,0.4747619047619047,0.37812500000000004,0.07361929103233683,0.5555555555555556,0.7588424437299036,1.0,0.9750673524737851,0.7653114540146704,0.8794212218649518,1.0,0.5495574579680641,0.774778728984032,0.572783988970653,0.936306330473933,2.0,-0.805801930832615,HIDDEN_SIGNAL
BIOMARKERS,RF_SHALLOW,wyniki_fgf23_pg_ml,0.0489523809523809,0.0489523809523809,3.0,0.3404761904761904,0.2981250000000001,0.3404761904761904,0.2981250000000001,0.17135237248583163,0.7777777777777778,0.4565916398713826,0.0,0.9590272139251421,0.86840249585146,0.2282958199356913,1.0,0.5495574579680641,0.774778728984032,0.422683562757661,0.6009031392435973,3.0,-0.056943447449859685,LOW_SIGNAL
BIOMARKERS,RF_SHALLOW,emmprin,0.0588412698412698,0.0588412698412698,2.0,0.24523809523809514,0.24750000000000005,0.24523809523809514,0.24750000000000005,0.20596732970330028,0.8888888888888888,0.24222936763129688,0.0,0.9583746868060983,0.9236317878474936,0.12111468381564844,1.0,0.5495574579680641,0.774778728984032,0.4169046004554808,0.5879899021059449,4.0,0.08485264588765185,LOW_SIGNAL
BIOMARKERS,RF_SHALLOW,tnfalfa_pg_ml,0.0293333333333333,0.0293333333333333,4.0,0.40380952380952373,0.3550000000000001,0.40380952380952373,0.3550000000000001,0.10267807534170456,0.6666666666666667,0.5991425509110396,0.0,0.9657550206717141,0.8162108436691904,0.2995712754555198,1.0,0.5495574579680641,0.774778728984032,0.4061533981554715,0.5639660691831181,5.0,-0.19689320011381525,LOW_SIGNAL
BIOMARKERS,RF_SHALLOW,non_hdl_calkowity_hdl,-0.0024761904761904,0.0,8.0,0.5819047619047618,0.535625,0.5819047619047618,0.535625,0.0,0.2222222222222222,1.0,0.0,0.9225958463988637,0.572409034310543,0.5,1.0,0.5495574579680641,0.774778728984032,0.3574696781035143,0.4551810678452777,6.0,-0.5,HIDDEN_SIGNAL
BIOMARKERS,RF_SHALLOW,ldl,0.0014444444444444,0.0014444444444444,6.0,0.4647619047619046,0.4068750000000001,0.4647619047619046,0.4068750000000001,0.005056117346371665,0.4444444444444444,0.7363344051446944,0.0,0.9261995498349527,0.6853219971396985,0.3681672025723472,1.0,0.5495574579680641,0.774778728984032,0.35284843901947244,0.444854792461978,7.0,-0.3631110852259755,HIDDEN_SIGNAL
BIOMARKERS,RF_SHALLOW,wyniki_klotho_pg_ml,-0.0051904761904761,0.0,9.0,0.5566666666666664,0.49687500000000007,0.5566666666666664,0.49687500000000007,0.0,0.11111111111111116,0.9431939978563769,0.0,0.9225958463988637,0.5168534787549874,0.47159699892818846,1.0,0.5495574579680641,0.774778728984032,0.32948349256105863,0.39264522981917976,8.0,-0.47159699892818846,HIDDEN_SIGNAL
BIOMARKERS,RF_SHALLOW,il_6_pg_ml,0.0008253968253968,0.0008253968253968,7.0,0.429047619047619,0.42937500000000006,0.429047619047619,0.42937500000000006,0.00288920991221238,0.33333333333333337,0.6559485530546625,0.0,0.9246551055052002,0.6289942194192668,0.32797427652733124,1.0,0.5495574579680641,0.774778728984032,0.3199525686196035,0.3713481396909908,9.0,-0.3250850666151189,LOW_SIGNAL
CLINICAL,RF_SHALLOW,wiek_w_momencie_zbiorki,0.0047301587301587,0.0047301587301587,1.0,-0.015238095238095162,0.05249999999999999,0.0,0.05249999999999999,1.0,1.0,0.0,0.0,0.0,0.5,0.0,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.5,1.0,1.0,1.0,SPURIOUS_IMPORTANCE
CLINICAL,RF_SHALLOW,krwawienie,0.0,0.0,6.0,0.03904761904761911,0.07374999999999998,0.03904761904761911,0.07374999999999998,0.0,0.84375,0.7321428571428567,0.0,0.9724708243984199,0.90811041219921,0.3660714285714283,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.4247272802568794,0.7772479311797227,3.0,-0.3660714285714283,HIDDEN_SIGNAL
CLINICAL,RF_SHALLOW,zapalenie_miesnia_serca,0.0,0.0,6.0,0.037142857142857144,0.08499999999999996,0.037142857142857144,0.08499999999999996,0.0,0.84375,0.6964285714285698,0.0,0.9724708243984199,0.90811041219921,0.3482142857142849,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.41877489930449824,0.7596332471869804,4.0,-0.3482142857142849,HIDDEN_SIGNAL
CLINICAL,RF_SHALLOW,ile_lat_mizdzyca_konczyn,0.0,0.0,6.0,0.03142857142857158,0.09999999999999998,0.03142857142857158,0.09999999999999998,0.0,0.84375,0.5892857142857159,0.0,0.9724708243984199,0.90811041219921,0.29464285714285793,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.400917756447356,0.7067891952087574,5.0,-0.29464285714285793,LOW_SIGNAL
CLINICAL,RF_SHALLOW,ace_i,-0.0004444444444444,0.0,7.0,0.030476190476190546,0.07624999999999993,0.030476190476190546,0.07624999999999993,0.0,0.8125,0.5714285714285714,0.0,0.9724708243984199,0.89248541219921,0.2857142857142857,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.3927332326378319,0.6825690047187368,7.0,-0.2857142857142857,LOW_SIGNAL
CLINICAL,RF_SHALLOW,otylosc_bmi_30,-0.0067619047619047,0.0,18.0,0.04571428571428582,0.1150000000000001,0.04571428571428582,0.1150000000000001,0.0,0.46875,0.8571428571428571,0.0,0.9724708243984199,0.72061041219921,0.42857142857142855,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.3830606135902128,0.6539451432305317,8.0,-0.42857142857142855,HIDDEN_SIGNAL
CLINICAL,RF_SHALLOW,leukocytoza_przyjecie_10000,-0.0138412698412698,0.0,23.0,0.053333333333333455,0.11875000000000002,0.053333333333333455,0.11875000000000002,0.0,0.3125,1.0,0.0,0.9724708243984199,0.64248541219921,0.5,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.38082847073307,0.6473396367332538,9.0,-0.5,HIDDEN_SIGNAL
CLINICAL,RF_SHALLOW,zaburzenia_homeostazy_glukozy_6,-0.0053015873015872,0.0,17.0,0.0352380952380954,0.09500000000000008,0.0352380952380954,0.09500000000000008,0.0,0.5,0.6607142857142873,0.0,0.9724708243984199,0.73623541219921,0.3303571428571436,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.3555308516854512,0.5724772297641025,11.0,-0.3303571428571436,LOW_SIGNAL
CLINICAL,RF_SHALLOW,ile_lat_1,0.0,0.0,6.0,0.015238095238095384,0.05874999999999997,0.015238095238095384,0.05874999999999997,0.0,0.84375,0.2857142857142878,0.0,0.9724708243984199,0.90811041219921,0.1428571428571439,0.45098039215686286,0.11310217450850665,0.28204128333268474,0.3503225183521179,0.5570643812704539,12.0,-0.1428571428571439,LOW_SIGNAL
