variant,feature,winner_model,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean,stability_score,winner_model_reliability_score,FRS,FRS_rank,feature_class
BIOMARKERS,72_kda_pro_mmp_2,RF_SHALLOW,0.2856825396825396,1.0,0.13761904761904753,0.803864989980066,0.774778728984032,1.0,1.0,SPURIOUS_IMPORTANCE
BIOMARKERS,hdl,RF_SHALLOW,0.021031746031746,5.0,0.4747619047619047,0.7653114540146704,0.774778728984032,0.936306330473933,2.0,HIDDEN_SIGNAL
BIOMARKERS,wyniki_fgf23_pg_ml,RF_SHALLOW,0.0489523809523809,3.0,0.3404761904761904,0.86840249585146,0.774778728984032,0.6009031392435973,3.0,LOW_SIGNAL
BIOMARKERS,emmprin,RF_SHALLOW,0.0588412698412698,2.0,0.24523809523809514,0.9236317878474936,0.774778728984032,0.5879899021059449,4.0,LOW_SIGNAL
BIOMARKERS,tnfalfa_pg_ml,RF_SHALLOW,0.0293333333333333,4.0,0.40380952380952373,0.8162108436691904,0.774778728984032,0.5639660691831181,5.0,LOW_SIGNAL
BIOMARKERS,non_hdl_calkowity_hdl,RF_SHALLOW,0.0,8.0,0.5819047619047618,0.572409034310543,0.774778728984032,0.4551810678452777,6.0,HIDDEN_SIGNAL
BIOMARKERS,ldl,RF_SHALLOW,0.0014444444444444,6.0,0.4647619047619046,0.6853219971396985,0.774778728984032,0.444854792461978,7.0,HIDDEN_SIGNAL
BIOMARKERS,wyniki_klotho_pg_ml,RF_SHALLOW,0.0,9.0,0.5566666666666664,0.5168534787549874,0.774778728984032,0.39264522981917976,8.0,HIDDEN_SIGNAL
BIOMARKERS,il_6_pg_ml,RF_SHALLOW,0.0008253968253968,7.0,0.429047619047619,0.6289942194192668,0.774778728984032,0.3713481396909908,9.0,LOW_SIGNAL
CLINICAL,wiek_w_momencie_zbiorki,RF_SHALLOW,0.0047301587301587,1.0,0.0,0.5,0.28204128333268474,1.0,1.0,SPURIOUS_IMPORTANCE
CLINICAL,krwawienie,RF_SHALLOW,0.0,6.0,0.03904761904761911,0.90811041219921,0.28204128333268474,0.7772479311797227,3.0,HIDDEN_SIGNAL
CLINICAL,zapalenie_miesnia_serca,RF_SHALLOW,0.0,6.0,0.037142857142857144,0.90811041219921,0.28204128333268474,0.7596332471869804,4.0,HIDDEN_SIGNAL
CLINICAL,ile_lat_mizdzyca_konczyn,RF_SHALLOW,0.0,6.0,0.03142857142857158,0.90811041219921,0.28204128333268474,0.7067891952087574,5.0,LOW_SIGNAL
CLINICAL,ace_i,RF_SHALLOW,0.0,7.0,0.030476190476190546,0.89248541219921,0.28204128333268474,0.6825690047187368,7.0,LOW_SIGNAL
CLINICAL,otylosc_bmi_30,RF_SHALLOW,0.0,18.0,0.04571428571428582,0.72061041219921,0.28204128333268474,0.6539451432305317,8.0,HIDDEN_SIGNAL
CLINICAL,leukocytoza_przyjecie_10000,RF_SHALLOW,0.0,23.0,0.053333333333333455,0.64248541219921,0.28204128333268474,0.6473396367332538,9.0,HIDDEN_SIGNAL
CLINICAL,zaburzenia_homeostazy_glukozy_6,RF_SHALLOW,0.0,17.0,0.0352380952380954,0.73623541219921,0.28204128333268474,0.5724772297641025,11.0,LOW_SIGNAL
CLINICAL,ile_lat_1,RF_SHALLOW,0.0,6.0,0.015238095238095384,0.90811041219921,0.28204128333268474,0.5570643812704539,12.0,LOW_SIGNAL
CLINICAL,crt_d_device,RF_SHALLOW,0.0,6.0,0.01333333333333342,0.90811041219921,0.28204128333268474,0.5394496972777119,13.0,LOW_SIGNAL
CLINICAL,gfr_min,RF_SHALLOW,0.0,12.0,0.018095238095238164,0.81436041219921,0.28204128333268474,0.4910093162976723,14.0,LOW_SIGNAL
CLINICAL,wbc_przyjecie,RF_SHALLOW,0.0002222222222222,5.0,0.0,0.9278785895844859,0.28204128333268474,0.48198866781989086,15.0,LOW_SIGNAL
CLINICAL,wrodzona_wada_serca,RF_SHALLOW,0.0,6.0,0.0028571428571430024,0.90811041219921,0.28204128333268474,0.4425689353176339,16.0,LOW_SIGNAL
CLINICAL,crp_5_zapalenie,RF_SHALLOW,0.0,11.0,0.010476190476190639,0.82998541219921,0.28204128333268474,0.4359634288203558,17.0,LOW_SIGNAL
CLINICAL,arb,RF_SHALLOW,0.0,6.0,0.0,0.90811041219921,0.28204128333268474,0.4161469093285201,18.0,LOW_SIGNAL
