variant,winner_model,feature,importance_mean_raw,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean_raw,ablation_delta_auc_oof_raw,ablation_delta_auc_mean,ablation_delta_auc_oof,importance_score,rank_score,ablation_score,joint_topk_score,cross_variant_consistency,stability_score,functional_consistency_score,winner_diag_signal_score,winner_diag_effect_score,winner_model_reliability_score,FRS_raw,FRS,FRS_rank,interpretability_gap,feature_class,complete_case_flag,unresolved_flag,importance_minus_ablation,ablation_minus_importance,importance_to_frs_gap,frs_to_importance_gap,stability_minus_importance,contradiction_abs,contradiction_signed,contradiction_score,importance_excess_flag,hidden_impact_flag,reliable_high_impact_flag,contradiction_class
BIOMARKERS,RF_SHALLOW,non_hdl_calkowity_hdl,-0.0024761904761904,0.0,8.0,0.5819047619047618,0.535625,0.5819047619047618,0.535625,0.0,0.2222222222222222,1.0,0.0,0.9225958463988636,0.572409034310543,0.5,1.0,0.5495574579680641,0.774778728984032,0.3574696781035143,0.4551810678452777,6.0,-0.5,HIDDEN_SIGNAL,1,0,-1.0,1.0,-0.4551810678452777,0.4551810678452777,0.572409034310543,1.0,-1.0,1.0,0,1,0,LATENT_DEPENDENCE
BIOMARKERS,RF_SHALLOW,wyniki_klotho_pg_ml,-0.0051904761904761,0.0,9.0,0.5566666666666664,0.496875,0.5566666666666664,0.496875,0.0,0.1111111111111111,0.9431939978563768,0.0,0.9225958463988636,0.5168534787549874,0.4715969989281884,1.0,0.5495574579680641,0.774778728984032,0.3294834925610586,0.3926452298191797,8.0,-0.4715969989281884,HIDDEN_SIGNAL,1,0,-0.9431939978563768,0.9431939978563768,-0.3926452298191797,0.3926452298191797,0.5168534787549874,0.9431939978563768,-0.9431939978563768,0.9410565896755875,0,1,0,LATENT_DEPENDENCE
BIOMARKERS,RF_SHALLOW,ldl,0.0014444444444444,0.0014444444444444,6.0,0.4647619047619046,0.4068750000000001,0.4647619047619046,0.4068750000000001,0.0050561173463716,0.4444444444444444,0.7363344051446944,0.0,0.9261995498349528,0.6853219971396985,0.3681672025723472,1.0,0.5495574579680641,0.774778728984032,0.3528484390194724,0.444854792461978,7.0,-0.3631110852259755,HIDDEN_SIGNAL,1,0,-0.7312782877983228,0.7312782877983228,-0.4397986751156064,0.4397986751156064,0.680265879793327,0.7312782877983228,-0.7312782877983228,0.7211672438180865,0,1,0,LATENT_DEPENDENCE
BIOMARKERS,RF_SHALLOW,hdl,0.021031746031746,0.021031746031746,5.0,0.4747619047619047,0.378125,0.4747619047619047,0.378125,0.0736192910323368,0.5555555555555556,0.7588424437299036,1.0,0.9750673524737852,0.7653114540146704,0.8794212218649518,1.0,0.5495574579680641,0.774778728984032,0.572783988970653,0.936306330473933,2.0,-0.805801930832615,HIDDEN_SIGNAL,1,0,-0.6852231526975668,0.6852231526975668,-0.8626870394415962,0.8626870394415962,0.6916921629823336,0.6852231526975668,-0.6852231526975668,0.6733792174942721,0,1,1,LATENT_DEPENDENCE
BIOMARKERS,RF_SHALLOW,il_6_pg_ml,0.0008253968253968,0.0008253968253968,7.0,0.429047619047619,0.429375,0.429047619047619,0.429375,0.0028892099122123,0.3333333333333333,0.6559485530546625,0.0,0.9246551055052002,0.6289942194192668,0.3279742765273312,1.0,0.5495574579680641,0.774778728984032,0.3199525686196035,0.3713481396909908,9.0,-0.3250850666151189,LOW_SIGNAL,1,0,-0.6530593431424502,0.6530593431424502,-0.3684589297787785,0.3684589297787785,0.6261050095070545,0.6530593431424502,-0.6530593431424502,0.6400051979776334,0,0,0,LOW_EVIDENCE
BIOMARKERS,RF_SHALLOW,tnfalfa_pg_ml,0.0293333333333333,0.0293333333333333,4.0,0.4038095238095237,0.3550000000000001,0.4038095238095237,0.3550000000000001,0.1026780753417045,0.6666666666666667,0.5991425509110396,0.0,0.965755020671714,0.8162108436691904,0.2995712754555198,1.0,0.5495574579680641,0.774778728984032,0.4061533981554715,0.5639660691831181,5.0,-0.1968932001138152,LOW_SIGNAL,1,0,-0.49646447556933515,0.49646447556933515,-0.4612879938414136,0.4612879938414136,0.7135327683274859,0.49646447556933515,-0.49646447556933515,0.4775182215007066,0,0,0,LOW_EVIDENCE
BIOMARKERS,RF_SHALLOW,wyniki_fgf23_pg_ml,0.0489523809523809,0.0489523809523809,3.0,0.3404761904761904,0.2981250000000001,0.3404761904761904,0.2981250000000001,0.1713523724858316,0.7777777777777778,0.4565916398713826,0.0,0.959027213925142,0.86840249585146,0.2282958199356913,1.0,0.5495574579680641,0.774778728984032,0.422683562757661,0.6009031392435973,3.0,-0.0569434474498596,LOW_SIGNAL,1,0,-0.28523926738555105,0.28523926738555105,-0.4295507667577657,0.4295507667577657,0.6970501233656284,0.28523926738555105,-0.28523926738555105,0.25834535865149694,0,0,0,LOW_EVIDENCE
BIOMARKERS,RF_SHALLOW,emmprin,0.0588412698412698,0.0588412698412698,2.0,0.2452380952380951,0.2475,0.2452380952380951,0.2475,0.2059673297033002,0.8888888888888888,0.2422293676312968,0.0,0.9583746868060984,0.9236317878474936,0.1211146838156484,1.0,0.5495574579680641,0.774778728984032,0.4169046004554808,0.5879899021059449,4.0,0.0848526458876518,LOW_SIGNAL,1,0,-0.03626203792799659,0.03626203792799659,-0.3820225724026447,0.3820225724026447,0.7176644581441933,0.03626203792799659,-0.03626203792799659,0.0,0,0,0,LOW_EVIDENCE
BIOMARKERS,RF_SHALLOW,72_kda_pro_mmp_2,0.2856825396825396,0.2856825396825396,1.0,0.1376190476190475,0.14875,0.1376190476190475,0.14875,1.0,1.0,0.0,0.0,0.6077299799601319,0.803864989980066,0.0,1.0,0.5495574579680641,0.774778728984032,0.6012883299933552,1.0,1.0,1.0,SPURIOUS_IMPORTANCE,1,0,1.0,-1.0,0.0,0.0,-0.19613501001993405,1.0,1.0,1.0,1,0,0,ATTRIBUTION_EXCESS
CLINICAL,RF_SHALLOW,leukocytoza_przyjecie_10000,-0.0138412698412698,0.0,23.0,0.0533333333333334,0.11875,0.0533333333333334,0.11875,0.0,0.3125,1.0,0.0,0.97247082439842,0.64248541219921,0.5,0.4509803921568628,0.1131021745085066,0.2820412833326847,0.38082847073307,0.6473396367332538,9.0,-0.5,HIDDEN_SIGNAL,1,0,-1.0,1.0,-0.6473396367332538,0.6473396367332538,0.64248541219921,1.0,-1.0,1.0,0,1,0,LATENT_DEPENDENCE
